Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41
10,48.4173,-0.0604468,-0.0823336,-0.166532,0.0149398,0.0585335,0.25901,0.125917,-0.0989619,-0.0921094,-0.203816,-0.0770391,-0.197115,-0.0328658,0.124863,0.185458,-0.00152367,0.116049,-0.038276,0.321847,-0.239968,0.0460307,0.0522742,-0.263795,0.0514518,-0.0482884,0.107335,-0.180142,-0.0712633,0.0739113,-0.0117655,0.171286,-0.271882,-0.126486,0.127466,0.111866,-0.0228902,0.060661,0.249037,0.163193,-0.13992,-0.20819,-0.324963
11,-47.1441,0.249508,0.22523,0.131637,0.100772,-0.0531105,0.136656,0.0556969,-0.197392,0.197685,0.0199852,0.231819,0.252809,-0.0933074,-0.0956107,0.0247943,-0.15729,0.028292,0.164361,0.0311132,-0.0986759,0.21116,-0.194522,0.079089,-0.277266,-0.163323,-0.0279217,-0.0549154,-0.217316,-0.186756,0.0651995,-0.0449315,-0.0932029,0.00742619,0.0989829,0.0758816,-0.346351,-0.0317599,-0.206757,-0.000781221,0.0722323,-0.0242301,-0.280887
12,45.5797,0.339728,0.0374247,0.116579,-0.469999,0.0487582,-0.239625,0.15336,0.0580004,-0.063702,-0.0993538,0.0018909,0.0846713,0.0709962,-0.00354662,-0.177516,-0.0906087,0.0179588,-0.0205747,0.079207,-0.239251,0.0269288,0.235684,-0.329489,-0.0700807,-0.104809,0.072299,-0.0656346,0.172554,-0.136986,0.0757084,-0.196688,-0.0404637,-0.0679078,0.00935556,0.28228,0.0342439,0.146581,-0.0208435,-0.0653881,0.00532444,0.114375,0.148846
13,-41.7079,-0.0897266,-0.0205378,-0.0253451,0.0806603,0.308879,-0.25669,0.0014081,0.0869455,0.00497704,-0.226731,0.208231,0.125866,0.0261047,0.0253043,0.260653,-0.0331379,0.132675,0.227266,0.126249,0.065974,0.13967,-0.277125,-0.113742,0.043052,-0.0381853,-0.218581,0.0705804,0.0912328,-0.152365,-0.311872,0.0867863,0.165818,-0.144702,-0.208071,0.191619,0.245645,0.0214627,-0.0766427,0.196411,0.0955508,-0.0220455,0.00431084
14,41.1572,0.186121,-0.25681,-0.0964106,0.170425,0.0739764,-0.108498,-0.134368,0.0918192,-0.103111,-0.0437624,-0.0958163,-0.0498535,-0.0939083,0.218751,0.0391933,-0.302164,0.102393,0.0115952,-0.0717205,0.163185,0.185656,0.0709201,-0.185977,-0.422244,-0.177677,0.0737766,0.0966584,0.129504,0.0933934,0.0526096,-0.000764169,0.036373,0.208356,-0.013997,-0.276152,0.0728318,0.0521178,0.173089,-0.151697,0.252001,0.0326529,-0.165762
15,-38.214,-0.123824,-0.0932488,-0.0979388,-0.209241,-0.192943,0.235092,0.0581562,0.111538,0.103681,-0.0506249,0.0125045,0.0586115,-0.105782,0.0803296,-0.011668,-0.0471814,0.0954448,0.11396,-0.155659,0.0098324,-0.0149752,-0.106293,-0.389893,0.00187557,-0.0286394,-0.34025,0.00272925,-0.319442,-0.100122,-0.259475,-0.261366,-0.0350167,0.0366292,0.065873,-0.33395,-0.00488128,0.0840857,0.00940827,-0.055142,-0.205089,0.0454886,0.17412
16,-37.7767,-0.0905393,-0.192179,0.0667014,0.0729274,-0.23279,0.0212781,0.100689,-0.113038,0.199574,-0.290539,0.0022638,0.1115,0.0834675,0.0245588,-0.251963,-0.133678,-0.0960187,0.202815,0.191907,-0.0369329,0.273287,-0.0153881,0.00676312,0.284629,0.184208,0.0417503,0.128089,0.0528677,0.163196,0.154513,0.0859429,0.134168,-0.0846829,-0.168156,-0.126258,-0.188272,0.316789,0.118624,0.025273,0.105078,0.231594,0.00776481
17,37.6902,0.0356535,0.161339,-0.0368496,-0.0372487,0.271652,-0.0588423,0.0606689,-0.171487,-0.281222,0.180282,-0.103177,0.0175824,0.0405426,0.0603753,0.245121,-0.0739572,0.134318,-0.0705485,0.242265,-0.120325,0.155682,0.269486,-0.0424762,0.0251006,0.251904,-0.0627554,0.100607,-0.253231,-0.044535,0.0687948,0.0782374,0.168836,0.153093,-0.1416,-0.276159,-0.258636,0.0181629,-0.1744,0.122905,0.0179185,0.00388913,0.23436
18,33.3486,-0.0419407,-0.239873,-0.0628048,0.16309,0.0855447,-0.172033,0.202433,-0.16163,0.157668,0.116983,0.172899,0.10763,0.0461693,0.252989,0.0840548,-0.15606,-0.0921184,-0.0380925,-0.261867,-0.0137018,-0.202898,0.280226,-0.082489,0.095277,-0.196191,-0.213819,-0.103781,-0.162411,0.349455,-0.0312949,0.0700489,0.122167,-0.0120293,0.00400243,0.297711,-0.230555,-0.0737862,0.00606959,-0.0132406,-0.0313901,0.00737879,0.0368474
19,-33.1647,-0.0318769,-0.0340211,-0.0809876,-0.14442,-0.0415855,0.138512,-0.128872,-0.106969,-0.00885116,-0.119068,0.136044,-0.348246,-0.169185,-0.150157,0.284872,-0.00711427,-0.388667,-0.00726126,0.145695,0.0977699,0.0114972,0.178729,-0.0754727,0.147142,-0.149752,-0.212459,-0.0472292,0.0406919,-0.0199254,0.0790622,0.00476877,-0.0329701,0.0114092,0.00192525,-0.00625284,0.0757924,0.00133826,-0.351957,-0.206542,0.269114,0.243403,-0.101884
20,28.8118,-0.157754,-0.169809,0.0256635,-0.136329,-0.130662,-0.282031,-0.198527,-0.248852,0.0459613,0.148264,-0.126287,-0.0810481,0.386215,-0.0404998,-0.0582683,0.339551,0.0523271,0.216516,0.121548,0.0339003,0.158178,-0.0235466,-0.0362531,-0.14237,-0.155301,0.0155585,-0.224363,-0.249066,0.068618,-0.0828799,-0.0247315,-0.11063,-0.0695897,0.0338296,-0.0341651,-0.0155914,-0.00318392,-0.00289189,-0.0698157,0.29985,-0.174294,0.0808506
21,28.5326,-0.28266,0.119695,-0.0513157,0.0117112,-0.00540606,-0.147556,0.0668779,-0.11537,0.0666925,-0.0949863,0.0354205,0.00441989,0.161832,-0.10967,-0.0263474,0.0525699,-0.0741048,0.0672009,0.0227615,-0.172014,-0.029063,-0.0283183,-0.199,-0.211345,-0.0475236,-0.0650168,0.211744,0.285241,-0.0326445,-0.0337972,0.247478,-0.266639,0.194644,-0.0302791,-0.0982941,-0.188012,-0.435662,0.0945426,-0.0607023,-0.169591,0.307818,0.0631625
22,-27.8502,0.21055,0.0329808,-0.293217,-0.165465,-0.154849,0.132372,-0.181364,0.0819594,0.0549395,0.0692405,-0.053321,0.140932,0.198237,0.0205608,0.127642,0.0515455,-0.233542,0.00598238,-0.184396,-0.296444,0.312124,0.161519,0.192969,-0.0228751,0.0317962,-0.326995,0.247626,0.158742,0.0182343,-0.0894122,0.143899,0.0752731,-0.0390381,0.123543,0.0350999,0.0590669,0.00702704,0.149605,0.0978341,0.0248908,-0.221601,-0.028409
23,27.2285,0.0818844,-0.0738394,0.0440259,0.0674936,-0.148233,-0.0438703,0.0718501,0.135637,-0.0339771,0.12021,0.0167019,-0.160575,0.252183,0.154785,0.286263,0.135886,-0.0934414,0.0100123,0.0338764,-0.148117,-0.201449,-0.115305,0.137076,-0.0937298,-0.172254,-0.0359976,0.0078686,-0.183114,-0.310089,0.230321,-0.114734,0.161673,-0.0119645,-0.121241,-0.0148703,0.0069826,0.106745,0.297764,0.19148,-0.0497314,0.415197,-0.105477
24,-24.5096,-0.0436287,-0.0627751,-0.214719,-0.0188043,-0.0374353,0.00503653,0.260186,-0.021337,-0.150697,0.0310084,0.176416,-0.148994,-0.141093,0.184789,0.0496103,0.25931,-0.220196,0.310505,-0.132903,0.00460307,0.0400167,-0.115911,-0.0170701,-0.409812,0.33621,0.145853,-0.118783,0.133862,0.0319561,0.0680121,0.0848663,0.132783,-0.0656777,0.0661422,0.0745262,-0.0692621,0.207089,-0.164418,-0.0895762,-0.142901,-0.0475572,0.122584
25,23.8685,0.172636,-0.119473,0.0485088,0.0521484,-0.145691,0.127624,-0.0472502,-0.0337048,0.0561601,-0.394888,-0.157368,0.129336,0.222551,-0.0266118,0.0747081,0.14059,0.178069,0.115789,0.045984,-0.0468843,-0.277551,0.0985324,-0.123093,-0.0736198,0.0147736,0.0521105,0.0570333,-0.0242567,0.0324708,0.177952,0.0762599,0.434806,-0.00359577,0.111208,-0.0705745,0.11701,-0.283405,-0.312703,-0.0550594,-0.101728,-0.110502,-0.0891367
26,-23.7365,0.0275848,-0.0518252,-0.128952,-0.0254735,0.0493865,0.0108159,0.182578,0.185309,0.221578,0.147538,0.12759,0.0667266,-0.0661427,-0.138079,0.0658527,0.115684,0.229451,0.0400642,0.442924,-0.0297817,-0.341845,0.0609306,0.20393,-0.117039,-0.170158,-0.0929794,0.254532,0.131103,0.127344,-0.0778934,0.0576833,-0.034495,-0.0587936,0.163936,-0.120722,-0.0973068,0.265945,0.031925,-0.220044,0.10128,-0.0672064,0.115859
27,-21.3161,0.0494641,-0.316643,0.180411,-0.208122,-0.150021,-0.157383,-0.272639,0.144092,-0.103398,-0.0522855,0.0819118,0.0761122,-0.0350518,-0.230951,0.244521,-0.231532,-0.0526733,0.12951,0.181819,0.212979,-0.037508,-0.0221115,0.134295,-0.0419241,0.167448,-0.0683077,-0.178794,0.00672134,0.0605782,0.0270781,0.0746551,-0.0639715,0.281655,0.157177,0.119757,-0.185781,0.00104055,0.10669,0.128682,-0.314109,-0.0565712,0.0634521
28,-20.4076,-0.0655603,0.0730625,0.285466,0.181309,0.270796,0.116865,-0.241453,0.164974,0.372963,-0.0967279,-0.0678788,-0.204502,0.0589261,0.00831309,0.0966546,-0.0246386,-0.234322,-0.0480245,0.00349105,0.00497324,0.0385038,0.00519202,-0.21294,-0.15699,0.0157479,-0.00549973,0.13147,-0.076212,-0.0867868,0.247766,-0.00401102,-0.00389788,-0.153366,-0.0236223,0.0978058,-0.125481,0.0819504,0.119282,-0.0916125,-0.0650818,-0.269663,0.344046
29,19.4021,-0.0200825,0.172438,-0.331586,0.209249,0.102566,0.0803126,-0.269138,0.150219,-0.180896,0.00878049,0.070873,-0.0916074,0.174954,-0.14578,-0.29268,-0.15807,0.135359,0.11514,0.0144691,-0.0833902,-0.161948,-0.0951382,-0.149786,0.0422789,0.19506,-0.18205,-0.174573,-0.0747656,-0.0344994,0.0875426,0.0334077,0.126146,0.0579862,0.301596,0.219533,-0.117734,0.0526753,0.0911878,-0.0538695,0.238431,0.184148,0.0540314
30,-16.7238,0.121472,0.0997967,0.272607,0.167536,-0.121709,0.0529751,0.106296,-0.218978,-0.134971,0.175396,-0.12248,-0.2741,-0.0585771,-0.204239,-0.0134224,0.0761066,0.25118,0.2148,-0.137798,0.205272,0.160233,0.0965949,-0.13126,0.0233121,-0.19207,-0.190308,0.237794,0.0820515,0.0858399,0.0384348,0.164843,0.0371883,-0.0339296,0.239863,0.133011,0.125704,0.183971,0.01367,0.180492,-0.171235,0.116764,0.0844775
31,14.9671,-0.218146,0.00231636,0.0466593,-0.184223,0.133152,0.218159,0.204355,0.274303,0.0321355,0.108224,-0.115587,0.258789,0.0156685,0.107924,0.00128175,0.0726846,0.0795912,0.131733,0.109557,0.291752,0.223029,0.168726,0.060732,-0.110878,0.143286,-0.138,0.0386398,-0.188496,0.0683044,0.306469,0.0216,-0.103116,-0.0386584,0.0333832,0.238423,0.201364,-0.23162,0.0665951,-0.105073,0.085463,0.181524,-0.114198
32,-13.2991,0.0824754,0.281457,0.0846844,0.149567,-0.260989,-0.204629,0.0814227,0.0146618,-0.199731,-0.200343,0.322322,0.0767702,-0.0324161,-0.163488,0.0867307,-0.020339,-0.0918024,-0.131962,0.0484138,-0.0490753,-0.0492151,0.0353506,-0.05254,-0.175297,0.131967,-0.133615,-0.0109471,-0.207096,0.372506,0.148075,-0.0955216,-0.132374,-0.212924,-0.0290549,-0.160796,0.26731,-0.0704988,0.182058,0.0491963,0.0913945,-0.0714106,0.105972
33,12.6326,0.101253,-0.189308,-0.147328,-0.166929,0.239407,0.0557007,0.0545799,-0.0755214,0.11705,-0.183123,-0.0675818,-0.248442,-0.20263,-0.371998,-0.279448,-0.0564271,0.0156587,0.0919077,-0.100773,-0.053658,-0.0675403,0.158547,0.254443,-0.275107,-0.00855614,-0.0418629,-0.0217618,-0.264751,-0.0125152,-0.0940599,0.103019,0.0779461,-0.132608,-0.253518,-0.0209386,0.0247662,-0.127816,0.136193,0.216335,-0.00603159,0.0741961,0.0304246
34,11.8956,0.0330305,-0.0149952,-0.339262,0.148407,-0.0267901,-0.294958,0.00184836,-0.0591977,0.168149,0.254174,-0.119341,0.155698,-0.191278,-0.0594198,-0.172185,-0.117696,-0.302067,0.0839027,0.257035,0.010123,0.0189335,-0.0363577,-0.149883,0.0924671,-0.133756,0.0756038,0.015795,-0.167399,-0.16297,0.228506,0.111367,0.0426526,0.0243111,0.123058,-0.0692036,0.329286,-0.0315431,-0.0756152,0.0902005,-0.253538,-0.0689328,0.0222714
35,10.3665,0.17058,-0.0583289,-0.178422,-0.00551716,0.126056,0.168555,0.0354405,-0.100409,0.251223,-0.00386847,0.0426821,-0.0332774,-0.0290311,-0.00778281,0.109173,0.139528,0.15653,0.043016,-0.0100763,-0.110646,0.0887387,-0.237964,0.015728,0.0767145,-0.0516563,-0.0090045,-0.150344,0.172785,0.296445,0.289268,-0.275385,-0.119757,0.385337,-0.0703205,0.0195546,0.129799,-0.0806899,-0.0422874,0.287076,0.0913911,0.0373727,0.290272
36,-10.1234,-0.137978,-0.172883,0.0292966,-0.0726251,0.0510878,0.215573,-0.182892,-0.2861,-0.232246,0.0476978,0.050448,0.283267,-0.228971,-0.0807424,-0.0427673,0.192364,-0.108509,-0.340158,0.170374,-0.0187418,0.0902127,-0.203209,-0.103168,-0.150774,-0.170196,0.0469699,0.104773,0.0173076,0.0829437,-0.036574,-0.0797772,0.353709,-0.0873181,0.0880656,0.157828,-0.0531743,-0.0462704,0.203474,-0.0209124,-0.00170847,0.132431,0.131642
37,8.22779,-0.0193499,-0.153145,0.227869,-0.112007,0.235503,0.0841812,0.0670107,-0.102703,0.00228881,0.252641,0.161854,-0.0774752,0.265005,-0.193772,-0.0885446,-0.0975078,-0.126195,-0.0164883,-0.0272607,-0.22781,-0.0931489,-0.199638,-0.137046,-0.0298367,0.21429,-0.0290361,0.21216,-0.11994,0.18587,-0.0195736,0.000175056,0.0440538,0.265657,-0.0815516,-0.00143704,0.274313,0.157741,-0.0419782,-0.162589,-0.0704475,-0.0781262,-0.340979
38,5.24376,0.20569,-0.265186,-0.136068,0.114913,0.11154,-0.157674,0.0985487,-0.121514,-0.112916,-0.193474,-0.352454,0.0170411,0.0724645,-0.0220894,0.118484,-0.0280003,-0.0329604,-0.16508,-0.0741721,0.0115081,-0.00046249,-0.293462,0.13378,0.0251443,0.169405,-0.0865437,0.280983,-0.160397,0.00783885,0.00772686,-0.141614,-0.348527,-0.190248,0.194013,0.125075,-0.0603471,0.0208144,-0.161277,-0.169913,-0.0298479,0.146823,0.0811992
39,-4.51174,-0.158696,0.117393,-0.0931577,-0.0929741,-0.158764,0.131038,-0.0596022,-0.173272,0.141901,0.125879,-0.0743307,-0.0110793,0.0909775,0.00959292,0.225295,-0.389002,-0.0460475,0.185798,0.0241793,0.0505928,-0.167761,0.0914095,-0.0287253,-0.125192,0.135494,0.410527,0.249377,-0.00491607,0.0753727,-0.224171,-0.242961,0.0140301,-0.121316,0.105823,0.151321,0.105042,-0.0570741,-0.00279997,0.228468,0.16247,0.0926917,0.0912857
40,3.96247,0.210001,0.0946994,-0.106147,-0.211042,0.052277,0.0136807,0.285833,-0.060534,0.14372,-0.0882656,0.0732201,0.0694484,0.149756,-0.159079,0.137868,0.0814635,-0.107444,-0.197752,-0.172324,0.400881,-0.049149,-0.141252,-0.18819,0.121987,0.0477502,0.192527,-0.0162391,-0.109019,-0.124106,-0.0281164,0.3563,0.0664352,0.138285,0.162637,-0.0887316,-0.0564944,0.0430153,0.234304,0.0408962,0.241937,-0.0379925,0.0550529
41,-3.58241,-0.364398,-0.0316947,0.0906849,-0.133229,0.18561,-0.147733,-0.0429592,-0.277152,0.0330039,-0.120875,-0.0429408,0.205837,-0.169406,-0.0489136,0.119203,-0.0366465,0.0929469,0.059172,-0.288376,-0.150782,-0.183778,0.0927653,0.0910916,-0.00996914,0.0632981,-0.127105,-0.0617156,0.142994,-0.207841,0.328198,-0.0391739,-0.0430467,-0.047948,0.279992,-0.192923,0.0902319,0.220984,0.0872614,0.103042,0.148502,-0.0661195,-0.108013
