Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24
10,-27.2004,0.174331,-0.183163,-0.0795551,0.120655,-0.172667,-0.346338,0.130449,0.154083,0.154091,-0.0611713,-0.211878,-0.0258402,-0.150005,-0.339163,0.135775,0.0571059,0.445372,0.263554,-0.17283,0.353162,0.0510185,-0.0952444,0.0500719,-0.184188,0.147844
11,26.9413,-0.0320163,0.317018,0.183152,-0.134291,0.0306273,0.0500208,0.0503722,0.0385147,-0.0714319,0.0914916,0.276282,0.173642,-0.0218725,0.0961618,-0.0938019,-0.106379,0.666722,-0.146676,0.210726,0.0559888,0.269716,0.170997,0.0674532,-0.129201,-0.22986
12,-23.172,0.47657,-0.0943822,0.004776,-0.0197342,-0.14692,-0.078994,0.108487,-0.05208,0.3646,-0.141188,0.296864,-0.0429985,0.185674,-0.191949,-0.265886,-0.0391571,-0.0379874,-0.0889071,-0.0961049,-0.0390418,-0.184509,0.28923,0.195832,0.287369,-0.275906
13,22.9393,-0.299811,-0.0895228,-0.0285702,-0.0746661,0.246619,-0.298298,0.388897,-0.109036,0.0742638,-0.121612,-0.0630185,0.363419,-0.110727,-0.234199,-0.0624056,0.0552506,-0.0214788,0.0157193,-0.178738,-0.476512,0.0373462,0.143495,-0.166148,-0.120703,-0.168788
14,21.7758,-0.110519,0.297343,-0.238195,0.0973692,-0.0462506,-0.0778782,-0.159924,0.629309,0.202481,0.213411,0.0268507,0.0952515,-0.0722163,0.0151888,-0.0382822,-0.387424,-0.0596183,-0.081946,-0.251419,-0.0919163,-0.207813,-0.0731279,-0.0719397,-0.0283742,-0.116432
15,-20.6841,-0.125993,0.176325,0.248215,0.31997,0.134412,-0.287411,0.0971255,-0.182098,0.104736,-0.082271,-0.118752,-0.300129,-0.277986,0.116466,-0.269885,-0.0738844,0.0354679,-0.312844,0.086592,-0.0354301,-0.270315,-0.184432,0.348518,-0.106441,0.0834362
16,17.5,-0.297237,0.122631,-0.219987,0.171437,0.140397,0.259557,0.176263,-0.209792,0.281919,-0.0772719,-0.115096,-0.317096,-0.00534903,-0.0478844,0.0101845,-0.0854816,-0.0643189,-0.0387651,-0.124748,0.427953,0.178416,0.167105,-0.228388,-0.0174712,-0.362102
17,-14.9196,0.152785,0.134581,-0.199865,0.0261264,-0.200284,-0.37468,-0.221068,-0.104588,-0.317547,-0.122578,-0.0889003,-0.396284,-0.0428916,0.032724,0.166586,-0.112762,0.00652589,-0.172819,-0.189025,-0.290335,0.383909,0.198286,-0.0594999,0.0524189,-0.10247
18,13.8164,-0.118556,-0.248082,0.156944,0.316646,0.116999,-0.18269,0.192238,0.16978,0.182893,-0.0693367,0.318923,-0.0622586,0.119252,0.275391,0.318099,-0.0820796,0.112858,-0.158732,0.0553545,-0.00338092,0.108567,0.0561259,-0.280248,0.354568,0.290904
19,-13.4007,-0.230116,-0.239521,0.244704,-0.194272,-0.460336,0.139986,-0.0842074,-0.215312,0.24414,0.0489912,-0.122935,0.110125,-0.0988004,0.128037,-0.223352,-0.380843,0.0245694,-0.0483567,-0.296666,-0.034864,0.225452,0.0224029,0.0290768,0.0341553,0.226411
20,9.12788,-0.060134,0.0805356,-0.099178,-0.546993,-0.0864971,-0.352944,0.390394,0.0618446,0.0771741,0.125575,-0.0429391,-0.291616,0.308371,0.279421,-0.107818,-0.0743573,-0.0810582,0.136827,0.179924,0.0888146,-0.0499991,-0.117298,-0.0670856,-0.079813,0.031039
21,7.32379,-0.305357,0.218564,0.171288,0.00122354,-0.125634,-0.10341,-0.0753099,-0.0677581,-0.113411,-0.233242,0.312675,0.0538404,0.515076,-0.30031,0.183278,0.0144644,-0.112679,-0.1399,-0.269689,0.166814,-0.0549329,-0.108524,0.171189,-0.220673,0.100319
22,-6.88303,-0.0828735,-0.22202,0.202744,-0.106636,0.312029,0.0641155,-0.397984,0.201389,0.158484,-0.333083,-0.144408,-0.286159,0.224101,0.0747741,-0.0879806,-0.0672112,0.186874,0.221647,0.0190448,-0.175984,-0.130222,0.27279,-0.0491926,-0.273665,0.00135072
23,-4.57123,-0.177264,-0.166345,-0.452972,-0.0255856,0.138363,-0.103861,-0.117704,0.160853,0.0979223,-0.0669604,0.219734,0.0794062,-0.0869592,-0.00126866,-0.271861,0.119115,-0.176385,-0.104228,0.179506,0.135813,0.3706,0.198893,0.372063,-0.111467,0.284054
24,-4.05252,-0.10714,0.287584,0.209865,-0.0606549,-0.066826,0.0118047,-0.0748794,-0.0291242,0.230825,0.13768,0.372484,-0.308978,-0.317695,-0.350611,0.0424881,0.0526714,-0.138269,0.424225,0.164847,-0.188081,0.124348,0.00520063,-0.0936151,0.0475606,0.154917
