Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22
11,25.6402,-0.418652,0.0183737,-0.274759,-0.0485973,0.15355,0.107679,-0.380422,0.131074,0.302728,-0.206754,0.0593029,0.00234494,-0.340752,-0.0910388,0.0587523,-0.0910407,-0.239321,-0.377946,-0.107225,0.118758,0.0796183,0.208018,-0.00904789
12,-23.6965,0.022692,0.419661,-0.068422,0.0456684,-0.39476,-0.0488155,-0.17818,0.077241,0.146337,-0.0481691,-0.100383,-0.0272056,-0.111294,-0.0058411,0.439718,0.218687,0.076316,0.205496,0.27996,-0.36218,0.0774247,0.214936,0.150748
13,21.884,-0.00760523,-0.0828613,-0.0919461,-0.377207,-0.236545,0.321611,-0.0983445,0.21049,-0.264858,-0.0191665,0.188524,0.207643,-0.295816,0.195454,-0.252318,0.329021,0.255405,-0.0155316,0.0751168,0.0909514,-0.261704,-0.0348818,0.181868
14,21.2543,0.368453,0.12668,-0.0431394,-0.0360261,-0.0643983,0.0258885,-0.335853,-0.0264775,0.314225,0.317433,0.366953,0.0119608,0.0803941,-0.0149931,-0.326893,-0.318881,-0.0182532,0.242535,-0.091711,0.0672177,0.00719737,0.271862,0.176474
15,-18.0835,0.0925315,-0.137032,-0.269852,-0.128289,-0.223819,0.227979,0.414837,0.106326,0.219755,-0.0445105,-0.314262,0.0476632,0.309495,-0.0692097,-0.260395,0.0621614,-0.292107,-0.191661,0.0248053,-0.172736,0.0356599,0.275866,0.210898
16,-17.0576,-0.216482,0.0623448,0.366154,0.069783,-0.285408,-0.192994,-0.0461956,-0.0376288,-0.103108,-0.0571912,-0.0529819,-0.348604,-0.16361,-0.167686,-0.312154,-0.0883326,-0.0687898,-0.133603,-0.175722,-0.138282,0.042452,-0.198009,0.525452
17,15.3995,0.0674667,-0.260852,0.289611,0.0758645,-0.170164,-0.168518,-0.137283,0.602238,-0.0951883,-0.251406,0.0941867,0.0187504,0.137111,0.0988373,-0.106041,-0.0406356,0.0971218,-0.033874,-0.0816486,-0.142189,0.309363,0.241212,-0.290823
18,-12.0291,0.295343,-0.191023,0.083701,0.227651,0.0271147,-0.0298849,0.0316513,-0.0873702,-0.0846889,-0.203692,-0.274094,-0.0222646,-0.285307,0.234406,0.152455,-0.363196,0.168484,-0.153583,0.0248917,0.0470443,-0.405168,0.379025,0.169623
19,-10.3574,-0.0825958,0.108545,0.312149,0.10081,-0.052435,0.293576,-0.102069,-0.297281,0.346847,-0.244266,-0.00961389,0.0693319,0.232841,0.472656,-0.132842,0.0173297,0.194307,-0.2037,0.234681,0.102213,0.209902,-0.128245,0.018848
20,9.75142,-0.12653,-0.0575204,0.0366347,0.113039,-0.187194,-0.266806,0.190519,-0.280192,0.201799,-0.289753,0.138543,0.347474,-0.0891411,0.0682015,-0.024356,0.292002,-0.0476115,0.291977,-0.488677,0.130221,-0.0538822,0.190325,0.00727821
21,5.79799,0.12146,0.0202596,0.0616432,0.293462,-0.0793907,0.12118,0.191031,0.201324,0.453491,0.132547,0.196469,-0.273324,-0.0980174,-0.150988,-2.4181e-05,0.235814,0.226903,-0.244926,-0.150513,-0.101985,-0.380324,-0.161703,-0.238831
22,-4.9917,-0.0554232,-0.222079,0.00342337,-0.263628,-0.361094,-0.062924,-0.203693,0.0553838,0.1745,0.0442344,-0.125504,0.264555,0.319895,-0.172699,0.369572,-0.289599,0.184267,-0.113157,-0.185816,0.124004,-0.174526,-0.306864,0.0845386
