Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23
10,-25.1244,0.171511,0.0987387,-0.125936,0.285004,0.16818,-0.327408,-0.209518,-0.128831,-0.33364,0.0116566,0.111072,0.194008,-0.151473,0.208489,-0.325027,-0.171345,-0.27975,-0.212352,0.0293186,0.142852,-0.159432,0.274121,-0.150575,-0.192555
11,-23.4088,0.326921,0.0554793,0.103189,-0.163168,0.252048,-0.0146078,0.190074,0.102331,0.328347,-0.225368,0.012188,-0.168564,0.114889,0.109133,-0.306428,0.00149494,-0.199085,0.145198,0.387558,0.161123,0.262554,0.0650992,-0.297463,0.194218
12,20.8462,-0.122361,-0.104586,-0.489225,-0.221966,-0.0209908,0.398011,-0.201411,-0.110407,-0.212514,-0.00430646,0.097177,-0.0775249,0.126598,-0.218275,-0.0630149,-0.147639,0.0797796,-0.0965708,0.000435563,-0.051892,0.350594,0.281693,-0.320951,-0.011655
13,-15.558,-0.143529,-0.0307546,-0.387953,-0.00473148,0.245185,-0.0401886,-0.0319365,-0.150052,0.119849,-0.39204,-0.608996,0.0206574,-0.142647,0.0453581,0.00944037,-0.14769,-0.137772,0.202881,-0.156756,0.080288,-0.00149099,-0.212045,0.08887,-0.122332
14,15.0296,0.31124,-0.15894,-0.0580829,-0.241468,-0.145379,0.176658,0.274851,-0.0482511,-0.24913,-0.0260011,-0.190703,0.186433,-0.00210272,0.434193,0.0876763,-0.0360223,0.300014,-0.00202637,0.356505,-0.0939497,-0.0802398,0.0448971,0.0819839,-0.336872
15,-14.6945,-0.156567,0.26031,0.183222,-0.118231,0.343929,0.233311,0.0171157,-0.124754,-0.461762,-0.215032,0.241369,-0.29823,-0.0108759,0.10026,0.0398513,-0.0498685,0.0955158,-0.00657834,0.0368264,0.367887,-0.0109469,-0.231852,0.222136,0.0400886
16,13.3143,0.15407,-0.0567576,0.000779912,-0.241309,0.205743,0.355803,-0.494966,0.223684,0.0977382,0.22046,-0.0838111,-0.113565,0.0313484,0.212123,-0.270419,0.303155,-0.142067,0.00929421,-0.138194,-0.124494,-0.287336,-0.0751115,0.108095,-0.0837805
17,-12.7182,-0.0382454,-0.180744,0.193136,0.256477,0.0427577,-0.078125,-0.173334,0.010138,-0.0676542,-0.0576119,-0.157917,-0.410713,-0.198543,-0.313158,-0.222526,-0.0259664,0.234285,-0.155752,0.369557,-0.280107,0.042595,-0.216222,-0.0871866,-0.291824
18,-10.9062,-0.196412,0.0182466,0.122226,-0.193335,0.101759,-0.17673,-0.281287,0.135497,-0.0933184,0.126549,0.0308861,0.234273,-0.259082,-0.0372054,0.170905,0.128712,-0.188669,0.328178,0.298828,-0.0226435,0.462041,0.157539,0.271308,-0.172746
19,8.6679,-0.169479,-0.220857,0.235035,-0.212405,0.161124,-0.0469256,0.339773,-0.252432,-0.271863,0.24878,-0.107682,0.0550327,0.312904,-0.248715,-0.248196,-0.0222051,-0.301411,0.270405,-0.0850998,-0.159477,-0.144144,-0.0118722,-0.0811777,-0.135545
20,6.088,0.0150127,0.131001,0.215543,-0.2,-0.0773406,0.106411,-0.0377044,-0.302991,0.180203,0.153502,-0.272097,0.0466969,-0.194444,-0.146011,-0.320751,-0.300131,0.162642,-0.199397,0.0330819,0.097939,-0.00308272,0.326651,0.393731,0.250301
21,-5.41688,0.410544,-0.248954,0.214075,0.188091,0.0109892,0.0637658,-0.330108,-0.498111,-0.0259745,0.0553872,-0.130869,-0.102168,0.100338,-0.0574963,0.400058,0.0988329,-0.0201579,0.19587,-0.019609,0.214284,0.0329685,0.0844152,-0.110307,0.083949
22,4.57153,0.0980295,-0.455089,0.165923,0.0114329,0.253397,0.177496,0.114704,0.465136,-0.0660895,-0.168583,-0.0737946,0.166702,-0.0959422,-0.294332,0.200703,-0.133273,-0.125485,-0.284712,-0.0586223,0.242294,-0.101605,0.192653,0.063033,-0.0116224
23,2.0133,-0.399626,0.0673046,-0.0343367,0.293897,-0.207926,0.230483,-0.0898954,0.129146,0.0159079,0.180365,-0.236146,-0.0216712,0.276349,0.104069,0.0776752,-0.103671,-0.207739,0.0489301,0.495877,0.261584,-0.243953,0.0622865,-0.040911,0.0957238
