Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29
10,31.4499,0.172167,-0.341569,-0.073684,0.0331709,-0.434878,-0.140603,0.177161,-0.0790286,0.266836,-0.08587,0.238972,0.12515,0.0374285,0.158845,-0.163203,-0.0734346,-0.108507,-0.103264,0.0219617,0.000533796,0.212798,-0.142779,-0.24411,-0.363969,0.187759,0.0508744,0.121156,-0.0505573,0.145402,-0.18375
11,-31.4431,0.0214239,0.0585246,-0.0558485,-0.17596,-0.0660735,0.258473,0.0329186,0.0155468,-0.00827721,-0.0826618,0.389084,-0.387159,-0.278107,-0.0460103,-0.265434,0.405304,0.0199009,0.137601,-0.0831856,-0.18519,0.14742,0.364736,0.0899987,-0.0112882,0.0101823,-0.0783256,0.156049,-0.0929591,-0.00701198,-0.0659622
12,28.3559,-0.172927,0.139871,-0.139192,-0.215249,-0.0516842,0.0611779,0.0546325,-0.0650936,0.0212811,-0.0861767,0.23646,0.0480431,-0.18676,0.290029,-0.0738102,-0.209324,-0.141214,-0.0430922,0.036321,0.025057,-0.307022,-0.30858,0.2829,0.116111,0.0903997,0.243457,0.202183,-0.000401846,-0.447649,-0.146198
13,-27.7589,-0.047131,0.430714,-0.20587,-0.174786,-0.0179302,-0.164823,-0.102474,-0.189276,0.204186,0.14337,0.0260113,-0.00807083,-0.0828416,-0.0604913,-0.159086,0.0353707,-0.22476,-0.304059,0.101637,-0.200646,0.0469524,-0.0670033,-0.0919204,0.195399,0.115635,0.108964,-0.0263495,0.298817,0.404711,0.198856
14,-25.4713,0.00948059,-0.0953223,-0.00717195,0.197917,-0.0985158,-0.00490819,-0.374469,0.285346,0.0252678,-0.328926,0.31533,0.0206198,-0.156517,0.0636021,-0.00599173,-0.052494,0.190934,0.0555704,0.0067877,-0.0108459,-0.0892363,-0.272593,-0.1691,0.465113,0.0834432,-0.199728,-0.137989,-0.0898654,0.196129,0.0293106
15,24.2568,-0.0820152,0.18431,0.181091,-0.162913,0.319707,-0.372133,-0.0321904,0.216409,-0.106605,0.148953,0.38577,-0.00343639,0.114003,0.0998841,0.0887985,-0.2055,0.293152,0.187561,0.0847867,0.0285746,0.177636,0.104033,-0.128301,-0.142969,0.176733,0.241334,0.210436,-0.0581163,0.0876767,0.0520335
16,-22.2796,0.186574,-0.168243,0.310928,-0.309621,-0.218479,-0.0829301,-0.156608,-0.00247671,0.04203,-0.0915963,-0.0260178,0.0911283,0.23729,0.0438596,0.100405,-0.0181805,-0.130885,0.0613326,-0.37723,-0.34829,-0.084144,0.0250084,0.239943,0.11948,-0.0990289,0.147508,0.166099,-0.141726,0.0873222,0.355669
17,20.6758,-0.167998,0.117846,0.269614,0.0506138,-0.0317311,-0.13232,-0.116035,-0.181287,0.0359083,-0.205545,0.103045,-0.290181,0.200538,-0.274153,-0.110726,-0.0156428,0.219017,-0.408266,0.0344804,0.113867,0.151801,-0.295741,0.305762,-0.171109,-0.17605,-0.187666,0.122607,-0.0774664,-0.0200717,-0.0426779
18,-19.2429,0.218142,-0.271691,-0.27029,-0.227733,0.0587153,-0.454938,-0.0216175,-0.000721672,0.146478,0.036429,0.05125,-0.168756,-0.0609599,-0.113884,0.145147,-0.1221,-0.115462,-0.114024,0.124959,0.135136,0.189123,0.215561,0.0596601,0.34718,-0.31393,-0.0334691,-0.0575105,-0.0724181,-0.197271,-0.150228
19,17.7539,-0.292612,0.115296,-0.0796612,-0.130547,-0.222257,-0.0454594,0.281143,0.136096,-0.210189,-0.207674,-0.170871,0.115739,-0.206626,0.0771673,0.183621,-0.182932,0.233732,-0.14828,-0.0848961,-0.34505,0.264281,0.0934381,0.155508,0.0127975,-0.0490277,0.0683735,-0.27142,-0.117804,0.16585,-0.234524
20,16.3184,0.118673,0.271309,0.19174,0.264574,-0.241762,-0.0510762,-0.01262,0.588389,0.121497,0.13076,0.0399426,-0.225307,-0.0273626,0.0921911,-0.0137862,-0.0886547,-0.268237,-0.163129,0.0865213,-0.105395,-0.0182992,0.0757947,-0.0120926,-0.176586,-0.178198,0.0584654,-0.185289,0.0406975,-0.239364,0.116571
21,-16.1102,-0.251078,0.014768,0.185778,0.213946,-0.199235,-0.108225,0.202386,-0.225952,-0.177046,-0.235932,-0.0755721,-0.193749,-0.129533,0.0773332,0.176738,-0.116954,-0.134587,0.0868122,0.131008,-0.0286563,0.0125708,0.126906,-0.366573,0.182001,-0.176235,-0.0475921,0.434264,0.154636,-0.0546039,0.197232
22,-12.1111,0.259669,0.175855,0.351385,0.125424,0.0227058,-0.193439,0.175084,-0.0606858,0.159102,-0.00175579,-0.0178319,0.159895,-0.427081,0.0978751,0.16754,0.0110857,-0.0701591,-0.0155528,-0.10945,0.285615,-0.074254,0.152012,0.341811,0.0437082,0.230128,-0.261309,0.0904141,0.00620821,0.18865,-0.087588
23,-10.6867,0.127029,-0.105754,0.112682,-0.0778837,0.169396,0.495703,0.0218667,-0.170675,0.113401,0.0757241,0.238263,0.08328,-0.199245,0.00487691,0.0654829,-0.481722,0.0947519,-0.31091,0.112732,0.00464443,-0.00408083,0.177745,-0.104899,-0.0622841,-0.199924,-0.00779901,-0.0792177,-0.122456,0.0689057,0.246195
24,9.71025,0.129477,0.209986,-0.182803,-0.0928894,0.245605,0.150354,0.0856183,-0.00374932,0.231822,-0.338831,-0.182222,-0.343813,0.175114,0.394455,0.120019,-0.134672,-0.120862,0.165416,-0.179811,0.136896,0.316262,-0.153138,-0.0227167,-0.0461821,0.0654255,-0.123618,-0.0632362,-0.0785395,0.0409659,0.132255
25,8.25925,-0.405874,0.0329794,0.111159,-0.066694,0.206857,-0.0834129,0.160045,-0.0207445,0.266489,-0.0349458,0.213817,0.0274673,0.0730609,-0.213612,0.201923,0.0894225,-0.343904,-0.0563003,-0.28695,-0.0561805,-0.239362,0.0238123,-0.291319,-0.0396075,0.037581,-0.13775,-0.193558,-0.307044,-0.0252746,-0.138333
26,7.1561,-0.156043,-0.0908554,-0.230603,0.0469603,-0.0600746,0.075131,-0.324395,0.110181,0.127783,-0.230741,-0.00209886,0.0391619,-0.0973703,-0.0496809,0.477724,0.228206,0.0717619,-0.285701,-0.10401,0.228467,0.0219168,0.217478,0.0417198,-0.206575,0.170636,0.286934,0.130387,0.158632,-0.0634364,0.149713
27,-3.50557,0.0139397,0.0581579,0.000607282,0.171367,-0.0749023,0.123385,0.335079,-0.0407928,-0.0280631,0.125885,0.190756,0.128209,0.274629,0.147184,0.204529,0.386398,-0.0166311,-0.142943,0.321289,0.0952801,0.172467,-0.0729512,0.133921,0.313749,0.0391803,0.152406,-0.0345312,-0.353089,0.0171249,0.198056
28,-2.72735,-0.137932,0.0111137,0.123419,0.231691,0.164623,0.0202346,-0.0987491,0.0044973,0.255434,-0.0860172,-0.110134,0.110122,-0.0500953,0.200986,-0.291435,0.0891828,-0.00655544,0.0366394,-0.123862,0.15747,0.0264235,0.0944558,0.0114324,0.0902657,-0.461575,0.473638,0.0902138,-0.102018,0.250344,-0.252856
29,1.95422,-0.0884604,-0.257804,0.139766,-0.071453,0.137174,0.163217,-0.208884,0.17464,-0.303532,0.257978,-0.168123,-0.255785,-0.0276716,0.164769,0.0774114,-0.0418907,-0.349581,-0.282709,0.0513667,-0.0146053,0.100672,-0.087989,0.00474694,0.0857488,0.215656,-0.0223282,0.23631,-0.135169,0.236646,-0.293412
