Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28
17,20.1961,-0.0747723,0.146024,0.0947825,0.235883,0.441046,0.00915434,-0.181558,0.00113018,-0.190731,0.196336,0.0433286,-0.247637,-0.127604,0.0640103,-0.0607673,0.337178,-0.0313245,0.228312,0.064993,0.276261,-0.248261,-0.307426,-0.0559114,-0.0520232,-0.227823,0.0523669,0.0189509,0.224372,-0.063449
18,-17.7023,-0.00949876,-0.404094,0.0656304,0.374699,-0.0235941,0.00389268,0.0150503,0.21405,-0.0110341,0.170419,0.215048,-0.0971937,-0.170567,0.0410141,0.055362,-0.150428,0.153254,0.0535404,0.0996754,-0.180663,-0.124865,-0.0822668,0.352507,0.119794,-0.144076,-0.288487,0.232721,-0.333634,0.0679533
19,-14.8663,-0.393716,0.233824,-0.389062,0.0666381,0.0211902,-0.116531,-0.171422,0.14293,0.0219112,0.0490312,-0.374798,-0.154835,-0.0792394,0.0895732,0.181778,0.0417647,0.0466037,0.132201,0.00466806,-0.458361,-0.00299725,0.198413,-0.0923639,0.209659,-0.103774,-0.0213622,0.101177,0.0701584,0.0789024
20,13.8579,0.103389,0.067586,-0.129136,-0.15914,0.143051,0.0247472,-0.0146383,0.125718,0.248146,-0.00828714,0.123665,-0.162908,0.398322,-0.0916328,0.32409,-0.356575,0.0470404,0.478423,0.024876,0.0454265,-0.0447053,-0.205806,0.0689139,-0.00994098,-0.0564178,0.287361,-0.0821491,-0.165081,0.0136625
21,12.7567,-0.00454941,-0.0335639,0.221929,0.217251,0.26101,0.096927,-0.0903392,-0.188716,0.167728,0.0214493,0.0890546,-0.205863,0.00332654,-0.211207,-0.23955,-0.196688,0.261532,0.0304767,0.147014,-0.150554,0.449127,0.0320113,-0.456366,0.139257,0.100566,-0.0126243,0.07359,-0.000190892,0.0426024
22,-11.8544,-0.217644,-0.251351,0.118371,-0.00326557,0.0469586,0.232316,-0.213426,0.202806,-0.0770998,-0.344599,0.107548,0.041264,0.277879,0.0339179,0.0568401,0.0845041,0.134121,-0.198963,-0.131695,-0.286731,-0.0375635,-0.0731281,-0.0860273,-0.237952,-0.191846,0.129439,0.0763448,0.0999049,-0.456718
23,-9.7784,0.0361834,-0.135052,-0.132298,0.0442795,-0.0367815,-0.246081,-0.307991,0.205127,0.14973,-0.0389006,-0.16328,-0.00714622,-0.027091,-0.203776,-0.197973,0.0926598,-0.032164,0.0886269,-0.21237,0.0703798,0.268889,-0.2395,0.255171,-0.269899,0.35049,0.0879026,0.356654,0.161655,0.104857
24,8.96167,0.0903243,-0.0230524,0.168242,0.274928,0.00857738,0.392256,-0.264728,0.11706,0.153972,-0.180119,0.00152937,0.256656,-0.00962144,-0.0639042,0.22625,0.0705474,-0.342994,0.234341,0.0156793,0.094131,-0.15772,0.271145,-0.0613605,0.262004,0.291477,-0.0731633,0.0882137,0.126231,0.0288163
25,-5.93025,0.175344,-0.218086,-0.294886,-0.121884,-0.352394,0.126163,-0.110715,-0.0869089,0.113235,0.0118075,-0.00039053,-0.0701553,-0.375552,0.11737,0.0178603,-0.103289,0.284188,0.252694,-0.192411,0.220192,-0.0508001,-0.0808554,-0.274849,0.0964015,-0.0858087,-0.118218,0.022337,0.176582,-0.31494
26,4.6978,-0.337396,0.00156651,0.12283,0.102684,-0.122216,-0.0754826,-0.137284,0.118933,0.0750842,0.126704,0.299475,-0.0614945,-0.222659,-0.127495,0.1327,-0.087508,-0.123228,-0.0922636,-0.451131,0.24246,0.162805,0.264186,-0.0648167,-0.0655566,-0.263129,0.27924,-0.140007,-0.0846012,0.189402
27,-4.37734,-0.0553042,0.1897,-0.0531635,0.0344202,-0.171665,-0.0733928,0.136894,0.0798145,0.294256,-0.0619544,0.116121,-0.0122424,0.201346,-0.522395,-0.338841,0.067877,-0.0282482,-0.0291971,-0.0171498,0.0296921,-0.167257,0.000148997,0.15283,0.316045,-0.316645,-0.17455,0.0300113,0.228719,-0.148576
28,-0.336471,0.238319,0.274995,0.0503026,-0.047769,-0.112301,0.20692,-0.132496,-0.157189,-0.402791,-0.220403,-0.00465287,-0.192071,-0.181285,-0.357988,0.0593052,0.228985,0.161543,0.139959,-0.171827,-0.153699,0.109773,0.0233432,0.238148,0.0945342,0.0121772,0.104713,-0.0228319,-0.328277,-0.0624323
